4.9747 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
16.5294 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
18.9694 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CCCFF5ACD0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001CCD203A3A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.9696 	EXP 	window1: mouseVisible = True
18.9698 	EXP 	window1: mouseVisible = False
18.9699 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.9699 	EXP 	window1: recordFrameIntervals = False
19.1350 	EXP 	window1: recordFrameIntervals = True
19.3193 	EXP 	Screen (0) actual frame rate measured at 59.87Hz
19.3194 	EXP 	window1: recordFrameIntervals = False
22.7539 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
22.7818 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
22.7896 	EXP 	Imported C:/Users/HILONI SHAH/Downloads/Untitled spreadsheet (2).xlsx as conditions, 1 conditions, 5 params
23.1318 	EXP 	window1: recordFrameIntervals = False
23.1341 	EXP 	window1: recordFrameIntervals = False
24.1386 	EXP 	fixation: autoDraw = True
24.8367 	EXP 	grating: autoDraw = True
24.8367 	EXP 	grating: tex = 'sin'
25.1507 	EXP 	fixation: autoDraw = False
25.1507 	EXP 	grating: autoDraw = False
25.4974 	DATA 	Keypress: right
25.5010 	EXP 	fixation: autoDraw = False
25.5010 	EXP 	grating: autoDraw = False
25.5013 	EXP 	window1: recordFrameIntervals = False
25.5179 	EXP 	window1: recordFrameIntervals = False
26.4897 	EXP 	fixation: autoDraw = True
27.5009 	EXP 	fixation: autoDraw = False
27.5009 	EXP 	grating: autoDraw = True
27.5009 	EXP 	grating: tex = 'sin'
27.8010 	EXP 	grating: autoDraw = False
27.9210 	DATA 	Keypress: right
27.9341 	EXP 	fixation: autoDraw = False
27.9341 	EXP 	grating: autoDraw = False
27.9344 	EXP 	window1: recordFrameIntervals = False
27.9509 	EXP 	window1: recordFrameIntervals = False
28.9233 	EXP 	fixation: autoDraw = True
29.9348 	EXP 	fixation: autoDraw = False
29.9348 	EXP 	grating: autoDraw = True
29.9348 	EXP 	grating: tex = 'sin'
30.2340 	EXP 	grating: autoDraw = False
30.3209 	DATA 	Keypress: right
30.3339 	EXP 	fixation: autoDraw = False
30.3339 	EXP 	grating: autoDraw = False
30.3341 	EXP 	window1: recordFrameIntervals = False
30.3509 	EXP 	window1: recordFrameIntervals = False
31.3772 	EXP 	fixation: autoDraw = True
32.3341 	EXP 	grating: autoDraw = True
32.3341 	EXP 	grating: tex = 'sin'
32.3840 	EXP 	fixation: autoDraw = False
32.6339 	EXP 	grating: autoDraw = False
32.7206 	DATA 	Keypress: right
32.7339 	EXP 	fixation: autoDraw = False
32.7339 	EXP 	grating: autoDraw = False
32.7342 	EXP 	window1: recordFrameIntervals = False
32.7508 	EXP 	window1: recordFrameIntervals = False
33.7224 	EXP 	fixation: autoDraw = True
34.7340 	EXP 	fixation: autoDraw = False
34.7340 	EXP 	grating: autoDraw = True
34.7340 	EXP 	grating: tex = 'sin'
35.0339 	EXP 	grating: autoDraw = False
35.1383 	DATA 	Keypress: left
35.1505 	EXP 	fixation: autoDraw = False
35.1505 	EXP 	grating: autoDraw = False
35.1507 	EXP 	window1: recordFrameIntervals = False
35.1671 	EXP 	window1: recordFrameIntervals = False
36.1400 	EXP 	fixation: autoDraw = True
37.1504 	EXP 	fixation: autoDraw = False
37.1504 	EXP 	grating: autoDraw = True
37.1504 	EXP 	grating: tex = 'sin'
37.4505 	EXP 	grating: autoDraw = False
37.5039 	DATA 	Keypress: right
37.5170 	EXP 	fixation: autoDraw = False
37.5170 	EXP 	grating: autoDraw = False
37.5173 	EXP 	window1: recordFrameIntervals = False
37.5339 	EXP 	window1: recordFrameIntervals = False
38.5051 	EXP 	fixation: autoDraw = True
39.5173 	EXP 	fixation: autoDraw = False
39.5173 	EXP 	grating: autoDraw = True
39.5173 	EXP 	grating: tex = 'sin'
39.8169 	EXP 	grating: autoDraw = False
39.9034 	DATA 	Keypress: left
39.9169 	EXP 	fixation: autoDraw = False
39.9169 	EXP 	grating: autoDraw = False
39.9172 	EXP 	window1: recordFrameIntervals = False
39.9338 	EXP 	window1: recordFrameIntervals = False
40.9054 	EXP 	fixation: autoDraw = True
41.9171 	EXP 	fixation: autoDraw = False
41.9171 	EXP 	grating: autoDraw = True
41.9171 	EXP 	grating: tex = 'sin'
42.2169 	EXP 	grating: autoDraw = False
42.2537 	DATA 	Keypress: right
42.2669 	EXP 	fixation: autoDraw = False
42.2669 	EXP 	grating: autoDraw = False
42.2672 	EXP 	window1: recordFrameIntervals = False
42.2837 	EXP 	window1: recordFrameIntervals = False
43.2565 	EXP 	fixation: autoDraw = True
44.2671 	EXP 	fixation: autoDraw = False
44.2671 	EXP 	grating: autoDraw = True
44.2671 	EXP 	grating: tex = 'sin'
44.5667 	EXP 	grating: autoDraw = False
44.7204 	DATA 	Keypress: right
44.7335 	EXP 	fixation: autoDraw = False
44.7335 	EXP 	grating: autoDraw = False
44.7338 	EXP 	window1: recordFrameIntervals = False
44.7504 	EXP 	window1: recordFrameIntervals = False
45.7224 	EXP 	fixation: autoDraw = True
46.7335 	EXP 	fixation: autoDraw = False
46.7335 	EXP 	grating: autoDraw = True
46.7335 	EXP 	grating: tex = 'sin'
47.0333 	EXP 	grating: autoDraw = False
47.1195 	DATA 	Keypress: left
47.1499 	EXP 	fixation: autoDraw = False
47.1499 	EXP 	grating: autoDraw = False
47.1501 	EXP 	window1: recordFrameIntervals = False
47.1666 	EXP 	window1: recordFrameIntervals = False
48.1393 	EXP 	fixation: autoDraw = True
49.1500 	EXP 	fixation: autoDraw = False
49.1500 	EXP 	grating: autoDraw = True
49.1500 	EXP 	grating: tex = 'sin'
49.4499 	EXP 	grating: autoDraw = False
49.5037 	DATA 	Keypress: right
49.5167 	EXP 	fixation: autoDraw = False
49.5167 	EXP 	grating: autoDraw = False
49.5170 	EXP 	window1: recordFrameIntervals = False
49.5336 	EXP 	window1: recordFrameIntervals = False
50.5061 	EXP 	fixation: autoDraw = True
51.5167 	EXP 	fixation: autoDraw = False
51.5167 	EXP 	grating: autoDraw = True
51.5167 	EXP 	grating: tex = 'sin'
51.8166 	EXP 	grating: autoDraw = False
51.9705 	DATA 	Keypress: right
51.9833 	EXP 	fixation: autoDraw = False
51.9833 	EXP 	grating: autoDraw = False
51.9838 	EXP 	window1: recordFrameIntervals = False
52.0000 	EXP 	window1: recordFrameIntervals = False
52.9723 	EXP 	fixation: autoDraw = True
53.9832 	EXP 	fixation: autoDraw = False
53.9832 	EXP 	grating: autoDraw = True
53.9832 	EXP 	grating: tex = 'sin'
54.2831 	EXP 	grating: autoDraw = False
54.3872 	DATA 	Keypress: right
54.3998 	EXP 	fixation: autoDraw = False
54.3998 	EXP 	grating: autoDraw = False
54.4001 	EXP 	window1: recordFrameIntervals = False
54.4166 	EXP 	window1: recordFrameIntervals = False
55.3880 	EXP 	fixation: autoDraw = True
56.3998 	EXP 	fixation: autoDraw = False
56.3998 	EXP 	grating: autoDraw = True
56.3998 	EXP 	grating: tex = 'sin'
56.6999 	EXP 	grating: autoDraw = False
56.7863 	DATA 	Keypress: left
56.7998 	EXP 	fixation: autoDraw = False
56.7998 	EXP 	grating: autoDraw = False
56.8000 	EXP 	window1: recordFrameIntervals = False
56.8165 	EXP 	window1: recordFrameIntervals = False
57.7895 	EXP 	fixation: autoDraw = True
58.7997 	EXP 	fixation: autoDraw = False
58.7997 	EXP 	grating: autoDraw = True
58.7997 	EXP 	grating: tex = 'sin'
59.0995 	EXP 	grating: autoDraw = False
59.5862 	DATA 	Keypress: right
59.5995 	EXP 	fixation: autoDraw = False
59.5995 	EXP 	grating: autoDraw = False
59.5998 	EXP 	window1: recordFrameIntervals = False
59.6164 	EXP 	window1: recordFrameIntervals = False
60.5885 	EXP 	fixation: autoDraw = True
61.5997 	EXP 	fixation: autoDraw = False
61.5997 	EXP 	grating: autoDraw = True
61.5997 	EXP 	grating: tex = 'sin'
61.8994 	EXP 	grating: autoDraw = False
62.0197 	DATA 	Keypress: right
62.0328 	EXP 	fixation: autoDraw = False
62.0328 	EXP 	grating: autoDraw = False
62.0331 	EXP 	window1: recordFrameIntervals = False
62.0497 	EXP 	window1: recordFrameIntervals = False
63.0216 	EXP 	fixation: autoDraw = True
64.0329 	EXP 	fixation: autoDraw = False
64.0329 	EXP 	grating: autoDraw = True
64.0329 	EXP 	grating: tex = 'sin'
64.3327 	EXP 	grating: autoDraw = False
64.3852 	DATA 	Keypress: right
64.4161 	EXP 	fixation: autoDraw = False
64.4161 	EXP 	grating: autoDraw = False
64.4163 	EXP 	window1: recordFrameIntervals = False
64.4328 	EXP 	window1: recordFrameIntervals = False
65.4045 	EXP 	fixation: autoDraw = True
66.4161 	EXP 	fixation: autoDraw = False
66.4161 	EXP 	grating: autoDraw = True
66.4161 	EXP 	grating: tex = 'sin'
66.7160 	EXP 	grating: autoDraw = False
66.8196 	DATA 	Keypress: right
66.8326 	EXP 	fixation: autoDraw = False
66.8326 	EXP 	grating: autoDraw = False
66.8329 	EXP 	window1: recordFrameIntervals = False
66.8494 	EXP 	window1: recordFrameIntervals = False
67.8211 	EXP 	fixation: autoDraw = True
68.8327 	EXP 	fixation: autoDraw = False
68.8327 	EXP 	grating: autoDraw = True
68.8327 	EXP 	grating: tex = 'sin'
69.1325 	EXP 	grating: autoDraw = False
69.5531 	DATA 	Keypress: right
69.5660 	EXP 	fixation: autoDraw = False
69.5660 	EXP 	grating: autoDraw = False
69.5662 	EXP 	window1: recordFrameIntervals = False
69.5829 	EXP 	window1: recordFrameIntervals = False
70.5553 	EXP 	fixation: autoDraw = True
71.5661 	EXP 	fixation: autoDraw = False
71.5661 	EXP 	grating: autoDraw = True
71.5661 	EXP 	grating: tex = 'sin'
71.8657 	EXP 	grating: autoDraw = False
71.9357 	DATA 	Keypress: right
71.9492 	EXP 	fixation: autoDraw = False
71.9492 	EXP 	grating: autoDraw = False
71.9495 	EXP 	window1: recordFrameIntervals = False
71.9660 	EXP 	window1: recordFrameIntervals = False
72.9382 	EXP 	fixation: autoDraw = True
73.9494 	EXP 	fixation: autoDraw = False
73.9494 	EXP 	grating: autoDraw = True
73.9494 	EXP 	grating: tex = 'sin'
74.2490 	EXP 	grating: autoDraw = False
74.3148 	DATA 	Keypress: left
74.3173 	EXP 	fixation: autoDraw = False
74.3173 	EXP 	grating: autoDraw = False
74.3179 	EXP 	window1: recordFrameIntervals = False
74.3324 	EXP 	window1: recordFrameIntervals = False
75.3060 	EXP 	fixation: autoDraw = True
76.5179 	EXP 	fixation: autoDraw = False
76.5179 	EXP 	grating: autoDraw = True
76.5179 	EXP 	grating: tex = 'sin'
76.8322 	EXP 	grating: autoDraw = False
77.0416 	EXP 	window1: recordFrameIntervals = False
77.0446 	DATA 	Keypress: right
77.0462 	EXP 	fixation: autoDraw = False
77.0462 	EXP 	grating: autoDraw = False
77.0467 	EXP 	window1: recordFrameIntervals = False
78.0318 	EXP 	fixation: autoDraw = True
78.9657 	EXP 	grating: autoDraw = True
78.9657 	EXP 	grating: tex = 'sin'
79.0322 	EXP 	fixation: autoDraw = False
79.2654 	EXP 	grating: autoDraw = False
79.3024 	DATA 	Keypress: left
79.3155 	EXP 	fixation: autoDraw = False
79.3155 	EXP 	grating: autoDraw = False
79.3158 	EXP 	window1: recordFrameIntervals = False
79.3323 	EXP 	window1: recordFrameIntervals = False
80.3034 	EXP 	fixation: autoDraw = True
81.3156 	EXP 	fixation: autoDraw = False
81.3156 	EXP 	grating: autoDraw = True
81.3156 	EXP 	grating: tex = 'sin'
81.6153 	EXP 	grating: autoDraw = False
81.9525 	DATA 	Keypress: left
81.9654 	EXP 	fixation: autoDraw = False
81.9654 	EXP 	grating: autoDraw = False
81.9656 	EXP 	window1: recordFrameIntervals = False
81.9823 	EXP 	window1: recordFrameIntervals = False
82.9544 	EXP 	fixation: autoDraw = True
83.9670 	EXP 	fixation: autoDraw = False
83.9670 	EXP 	grating: autoDraw = True
83.9670 	EXP 	grating: tex = 'sin'
84.2819 	EXP 	grating: autoDraw = False
84.3686 	DATA 	Keypress: right
84.3819 	EXP 	fixation: autoDraw = False
84.3819 	EXP 	grating: autoDraw = False
84.3822 	EXP 	window1: recordFrameIntervals = False
84.3990 	EXP 	window1: recordFrameIntervals = False
85.3705 	EXP 	fixation: autoDraw = True
86.3822 	EXP 	fixation: autoDraw = False
86.3822 	EXP 	grating: autoDraw = True
86.3822 	EXP 	grating: tex = 'sin'
86.6819 	EXP 	grating: autoDraw = False
